"000031220615";6;;"2022-09-22";4;"2560";0;0;0;2;1;0;502;0;0;0;300;2;1;01;1;1;1;1;0;0;0;10;1;2;00;;17;00;"XX";;;4;;;0;0;;;;"-1039553";"-753389";"-1039553";"-753389";"";"";"PRAHA";"AVIATICKÁ";"1039";"komunikace místní";"";"";"";"";"";"554782";"506435";"";"1"
"000032224403";6;;"2022-10-06";4;"1233";1;4;0;2;1;2;503;0;0;0;1200;2;1;01;1;1;1;1;1;1;0;05;1;3;00;;3;15;"19";3;0;0;0;1;5;1000;2;1;1;"-1042454";"-741647";"-1042454";"-741647";"";"";"PRAHA";"NÁBØEÍ LUDVÍKA SVOBODY";"65";"komunikace místní";"";"";"";"";"";"554782";"480525";"";"1"
"000037229462";6;;"2022-11-25";5;"1730";0;0;0;2;5;0;100;0;0;0;400;1;1;01;1;4;1;1;1;0;5;00;1;2;00;;3;47;"06";3;0;4;0;1;6;100;3;1;1;"-1042683";"-741779";"-1042683";"-741779";"";"";"PRAHA";"";"-1";"komunikace místní";"";"";"";"";"";"554782";"";"";"1"
"000039224043";6;;"2022-12-09";5;"1160";3;0;3;2;1;2;508;0;0;0;50;1;1;01;1;1;1;1;1;0;1;00;1;1;00;;5;19;"14";1;0;1;0;1;5;0;2;1;1;"-1042844";"-741982";"-1042844";"-741982";"";"";"Praha";"";"-1";"komunikace místní";"";"";"";"";"";"554782";"";"";"1"
"000039224637";6;;"2022-12-10";6;"0835";2;0;0;2;1;2;504;0;0;0;1800;2;1;01;1;1;1;0;1;0;0;00;1;2;00;;8;99;"13";3;0;0;0;1;5;800;4;1;1;"-1045623";"-744067";"-1045623";"-744067";"";"";"Praha";"";"-1";"komunikace místní";"";"";"";"";"";"554782";"";"";"1"
"014024229291";0;1;"2022-10-06";4;"1703";2;0;0;2;1;2;508;0;0;0;50;2;1;01;1;1;1;5;1;0;0;00;1;2;00;;7;10;"XX";9;0;1;0;1;1;0;0;1;1;"-1073969";"-718512";"-1073969";"-718512";"";"";"OSTØEDEK";"";"";"dálnice";"1";"";"";"";"";"530352";"";"";"2"
"060040220001";0;1;"2022-01-01";6;"1825";1;3;0;2;1;0;508;0;0;0;600;2;1;01;1;6;1;5;1;0;0;00;1;02;00;;17;;"XX";;;;;;;0;;;;"-609471,293";"-1160388,065";"-609471,293";"-1160388,065";"-609468,762";"-1160381,808";"";"";"";"dálnice";"D1";"1730559";"";"Souhlasnısesmìremúseku";"Pomalı";"583669";"";"GN_V0.1UIR-ADR_410";"2"
"060040220002";0;1;"2022-01-07";5;"0805";0;0;0;2;1;2;508;0;0;0;100;2;1;01;1;1;1;0;0;0;0;09;1;01;00;;3;39;"20";3;0;1;0;1;3;0;2;1;1;"-621008,824";"-1149807,588";"-621008,824";"-1149807,588";"-621005,347";"-1149797,073";"";"";"";"místníkomunikace";"";"1321934";"";"Opaènıkesmìruúseku";"Pomalı";"583723";"";"GN_V0.1UIR-ADR_410";"2"
"060040220003";0;1;"2022-01-17";1;"1045";1;2;0;2;1;2;506;0;0;0;500;3;1;01;1;1;1;3;1;0;0;00;1;02;00;;5;29;"06";3;0;1;0;1;3;100;2;1;1;"-619045,7";"-1151130,718";"-619046,235";"-1151138,216";"-619046,126";"-1151138,055";"";"";"";"dálnice";"D1";"3072855";"";"Opaènıkesmìruúseku";"Rychlı";"582964";"";"GN_V0.1UIR-ADR_410";"2"
"060040220004";0;1;"2022-01-29";6;"1760";3;0;9;2;1;0;508;0;0;0;2000;2;1;01;1;4;1;3;0;0;0;09;1;01;00;;17;;"XX";;;;;;;0;;;;"-605329,239";"-1162388,179";"-605323,884";"-1162379,075";"-605323,894";"-1162379,089";"";"";"";"dálnice";"D1";"720129";"";"Souhlasnısesmìremúseku";"Odboèovacívlevo";"584029";"";"GN_V0.1UIR-ADR_410";"2"
"060040220005";0;1;"2022-01-31";1;"1615";1;4;0;1;1;2;503;0;0;1;3500;2;1;01;1;1;1;3;1;0;0;00;1;03;00;;3;16;"15";3;0;1;0;1;3;2000;4;1;1;"-604517,819";"-1162781,504";"-604517,819";"-1162781,504";"-604519,19";"-1162785,944";"";"";"";"dálnice";"D1";"1730447";"";"Souhlasnısesmìremúseku";"Rychlı";"582786";"33430";"GN_V0.1UIR-ADR_410";"2"
