"010044224054";0;8;"2022-03-27";0;"2025";5;0;0;2;4;0;100;0;0;0;310;2;1;01;1;6;1;3;1;0;0;00;1;01;00;;3;25;"13";9;0;1;0;1;1;300;2;1;1;"-761655,555";"-994055,717";"-761655,555";"-994055,717";"";"";"";"";"";"";"";"";"";"";"";"";"";"GN_V0.1UIR-ADR_410";"2"
"010044224056";0;8;"2022-03-28";1;"1315";2;0;0;2;1;0;508;0;0;0;1100;2;1;01;1;1;1;0;8;0;0;00;1;02;00;;7;10;"19";9;0;0;0;1;1;0;3;1;1;"-760604,967";"-996222,975";"-760604,967";"-996222,975";"";"";"";"";"";"";"";"";"";"";"";"";"";"GN_V0.1UIR-ADR_410";"2"
"010044224061";0;8;"2022-04-15";5;"0150";3;0;3;2;1;2;204;0;0;0;350;2;3;01;1;6;1;3;4;0;0;00;1;01;00;;3;47;"04";1;1;1;0;1;3;200;3;1;1;"-751643,838";"-1007526,573";"-751643,838";"-1007526,573";"-751639,859";"-1007524,258";"";"";"";"dálnice";"D8";"1436143";"";"Souhlasnısesmìremúseku";"Pomalı";"565032";"";"GN_V0.1UIR-ADR_410";"2"
"010044224063";0;8;"2022-04-18";1;"1500";5;0;0;2;4;0;100;0;0;0;130;2;1;01;1;1;1;3;1;0;0;00;1;01;00;;3;47;"16";9;0;1;0;1;3;100;2;1;1;"-761121,056";"-994994,217";"-761121,056";"-994994,217";"";"";"";"";"";"";"";"";"";"";"";"";"";"GN_V0.1UIR-ADR_410";"2"
"010044224071";0;8;"2022-04-23";6;"0440";3;0;4;2;1;2;209;0;0;0;1250;2;1;01;1;6;1;3;3;0;0;00;1;01;00;;3;47;"06";1;0;1;0;1;1;500;2;1;1;"-760101,207";"-997114,702";"-760101,207";"-997114,702";"";"";"";"";"";"";"";"";"";"";"";"";"";"GN_V0.1UIR-ADR_410";"2"
"010044224072";0;8;"2022-04-23";6;"0940";3;0;4;2;1;0;203;0;0;0;2200;2;1;01;1;1;1;3;3;0;0;00;1;01;00;;3;08;"13";1;1;1;0;1;3;600;2;0;1;"-749792,104";"-1011018,995";"-749792,104";"-1011018,995";"-749783,422";"-1011012,538";"";"";"";"dálnice";"D8";"709879";"";"Souhlasnısesmìremúseku";"Pomalı";"565881";"";"GN_V0.1UIR-ADR_410";"2"
"010044224074";0;8;"2022-04-24";0;"0255";5;0;0;2;4;0;100;0;0;0;550;2;1;01;1;6;1;3;1;0;0;00;1;01;00;;7;40;"15";6;0;1;0;1;3;500;3;1;1;"-761839,17";"-993906,997";"-761839,17";"-993906,997";"";"";"";"";"";"";"";"";"";"";"";"";"";"GN_V0.1UIR-ADR_410";"2"
"010044224078";0;8;"2022-04-25";1;"0705";3;0;4;2;1;2;204;0;0;0;350;2;3;01;3;1;1;3;1;0;0;00;1;01;00;;3;08;"15";3;1;1;0;1;3;300;2;1;1;"-749806,848";"-1010996,497";"-749806,848";"-1010996,497";"-749799,445";"-1010990,992";"";"";"";"dálnice";"D8";"709879";"";"Souhlasnısesmìremúseku";"Pomalı";"565881";"";"GN_V0.1UIR-ADR_410";"2"
"010044224083";0;8;"2022-04-29";5;"0818";1;3;0;2;1;0;508;0;0;0;300;2;1;01;1;1;1;3;1;0;0;00;1;02;00;;7;99;"";6;0;1;0;1;1;0;9;;;"-759157,838";"-998426,84";"-759157,838";"-998426,84";"";"";"";"";"";"";"";"";"";"";"";"";"";"GN_V0.1UIR-ADR_410";"2"
"010044224084";0;8;"2022-05-02";1;"1520";3;0;9;2;1;2;508;0;0;0;8100;2;1;01;1;1;1;3;3;0;0;00;1;01;00;;7;62;"13";3;0;1;0;1;3;4000;3;1;1;"";"";"-750524,711";"-1009636,256";"-750527,26";"-1009637,196";"";"";"";"dálnice";"D8";"3455870";"";"Souhlasnısesmìremúseku";"Pomalı";"565881";"";"GN_V0.1UIR-ADR_410";"2"
"010044224085";0;8;"2022-05-03";2;"0907";3;0;9;2;1;0;508;0;0;0;100;2;1;01;1;1;1;3;0;0;0;00;1;01;00;;3;17;"17";3;0;1;0;1;1;0;2;1;1;"-760533,717";"-996398,457";"-760533,717";"-996398,457";"";"";"";"";"";"";"";"";"";"";"";"";"";"GN_V0.1UIR-ADR_410";"2"
"010044224086";0;8;"2022-05-04";3;"2030";5;0;0;2;4;0;100;0;0;0;350;2;1;01;1;2;1;3;1;0;0;00;1;01;00;;3;13;"21";3;0;1;0;1;1;300;2;1;1;"";"";"-749528,419";"-1011349,528";"-749527,706";"-1011349,051";"";"";"";"dálnice";"D8";"1587958";"";"Souhlasnısesmìremúseku";"Pomalı";"565881";"";"GN_V0.1UIR-ADR_410";"2"
