"000030226275";1;1;3;10
"000030228673";2;1;3;06
"000030229624";3;1;1;04
"000032220930";2;1;5;03
"000033225303";3;2;1;04
"000033228002";2;1;1;04
"000035224762";3;1;1;04
"000035226044";3;1;1;04
"000035228396";2;1;1;01
"000036222781";3;1;3;04
"000037220721";2;1;1;04
"000037221964";2;1;1;07
"000037222084";2;1;1;07
"000037224662";1;1;2;09
"000037229522";1;1;7;10
"000038220118";1;1;2;03
"000038222850";1;1;1;01
"000038225849";2;1;1;01
"000038226228";2;2;2;10
"000038226448";2;1;1;08
"000039222546";1;1;3;04
"000039223268";2;1;1;04
"000039225495";3;2;3;10
"000039225813";3;1;1;04
"000039226692";3;1;1;01
"000039227848";1;1;1;04
"000040222723";3;1;3;04
"000040223274";2;1;3;10
"000040225812";2;1;3;10
"000040226029";1;1;3;06
"000040227108";2;9;1;04
"000040227197";1;1;1;03
"000040227215";2;1;1;07
"000040227740";2;1;3;06
"000040227953";1;2;2;10
"000040228912";2;1;1;07
"000041222636";2;1;1;07
"000041222725";1;8;3;03
"002100220005";5;0;0;00
"002100220029";1;2;3;00
"002100220066";3;2;3;00
"002100220067";2;1;1;01
"002100220079";1;2;3;06
"002100220100";2;2;4;00
"002100220104";1;1;1;01
"002100220113";2;1;1;04
"002100220129";3;1;1;04
"002100220165";1;0;0;04
"002100220170";5;0;0;00
"002100220196";1;1;1;01
"002100220229";5;0;0;00
"002100220250";2;1;1;09
"002100220310";1;1;0;03
"002100220326";1;1;1;00
"002100220341";2;1;1;07
"002100220342";2;1;1;04
"002100220345";2;1;1;00
"002100220365";1;1;1;07
"002100220367";2;1;1;07
"002100220386";5;0;0;00
"002100220426";3;2;3;10
"002100220429";1;1;1;04
"002100220484";1;9;7;03
"002100220511";2;2;3;00
"002100220525";2;9;3;03
"002100220537";5;0;0;00
"002100220539";1;2;2;02
"002100220569";1;1;1;04
"002100220574";2;1;1;04
"002100220602";1;0;7;04
"002100220613";2;1;1;00
"002100220620";3;0;0;04
"002100220656";2;1;0;04
"002100220662";5;0;0;00
"002100220696";2;1;0;10
"002100220703";2;1;1;04
"002100220748";2;1;1;04
"002100220753";2;1;1;00
"002100220814";2;1;1;07
"002100220822";1;1;1;04
"002100220824";2;1;1;04
"002100220850";5;0;0;00
"002100220880";5;0;0;00
"002100220919";2;1;1;04
"002100220921";2;1;1;01
"002100220923";1;1;1;10
"002100221074";1;2;2;05
"002100221094";2;1;1;04
"002100221100";2;1;3;10
"002100221144";2;1;1;04
"002100221146";2;1;1;04
"002100221318";5;0;0;00
"002100221363";1;1;1;04
"002100221378";2;1;1;07
"002100221430";5;0;0;00
"002100221518";2;1;0;03
"002100221566";2;1;1;04
"002100221599";1;2;3;00
"002100221625";1;1;0;04
"002100221660";2;4;4;00
"002100221668";1;1;1;07
"002100221708";5;0;0;00
"002100221714";2;1;1;04
"002100221776";3;1;7;06
"002100221792";2;0;0;00
"002100221806";2;1;1;04
"002100221810";2;2;3;04
"002100221877";2;1;1;00
"002100221889";2;1;1;04
"002100221900";1;2;4;00
"002100221934";1;0;4;00
"002100221985";5;0;0;00
"002100222010";2;1;1;04
"002100222039";5;0;0;00
"002100222087";1;2;2;10
"002100222148";3;2;3;10
"002100222150";2;1;3;00
"002100222152";5;0;0;00
"002100222174";1;2;3;00
"002100222242";2;1;1;04
"002100222246";2;2;3;10
"002100222306";3;2;6;04
"002100222317";3;2;3;00
"002100222344";2;2;4;00
"002100222348";2;1;1;00
"002100222359";3;1;1;04
"002100222427";3;1;1;04
"002100222437";2;1;1;04
"002100222460";1;1;1;00
"002100222469";5;0;0;00
"002100222470";3;1;6;00
"002100222555";1;4;1;01
"002100222577";2;2;3;00
"002100222602";1;1;0;04
"002100222615";1;2;3;02
"002100222650";3;1;1;04
"002100222693";3;1;1;01
"002100222699";3;1;1;04
"002100222752";2;1;1;07
"002100222754";1;1;1;04
"002100222801";1;1;0;04
"002100222816";1;2;3;00
"002100222891";2;0;0;00
"002100222916";3;2;3;00
"002100222919";2;1;0;00
"002100222972";1;1;1;00
"002100222994";2;1;1;04
"002100223008";2;1;1;07
"002100223043";1;2;2;00
"002100223062";1;1;1;00
"002100223075";1;1;1;00
"002100223109";2;1;1;01
"002100223115";1;1;1;04
"002100223141";1;1;1;07
"002100223183";1;1;1;04
"002100223272";1;1;1;01
"002100223278";2;1;1;04
"002100223314";3;1;3;02
"002100223324";2;2;3;10
"002100223366";3;1;1;04
"002100223372";1;9;5;00
"002100223379";1;1;1;00
"002100223405";1;4;3;00
"002100223406";1;0;1;04
"002100223439";1;1;1;00
"002100223451";2;1;3;04
"002100223452";2;1;1;07
"002100223486";1;2;6;02
"002100223513";2;1;0;00
"002100223573";2;2;3;02
"002100223655";1;9;3;00
"002100223671";1;2;3;00
"002100223728";5;0;0;00
"002100223733";1;1;1;01
"002100223737";1;0;0;00
"002100223797";1;1;1;00
"002100223861";5;0;0;00
"002100223902";5;0;0;00
"002100223912";2;1;1;07
"002100223944";5;0;0;00
"002100223946";1;9;3;00
"002100223977";2;1;1;08
"002100224087";2;1;1;04
"002100224106";2;1;0;04
"002100224145";1;3;5;00
