"010722224228";0;10;"2022-09-07";3;"1132";3;0;4;2;1;2;209;0;0;0;1200;2;1;01;1;1;1;3;1;0;0;00;1;1;00;;3;26;"21";3;1;0;0;1;1;1200;2;1;1;"-995952";"-690749";"-995952";"-690749";"";"";"LOUKOV";"";"-1";"dálnice";"10";"";"";"";"";"570770";"";"";"2"
"040218228488";1;9;"2022-10-16";0;"1230";9;0;0;2;1;2;204;0;0;0;200;2;2;01;3;1;1;2;8;0;0;00;3;1;00;;5;13;"04";1;1;1;0;1;1;200;2;1;1;"-961770";"-719315";"-961770";"-719315";"";"";"JIØETÍN POD JEDLOVOU";"";"-1";"silnice 1.tøídy";"9";"";"";"";"";"562572";"";"";"2"
"040219226363";1;9;"2022-10-30";0;"0930";9;0;0;1;1;2;204;0;0;1;500;2;3;02;2;3;1;1;1;0;5;00;3;1;00;;3;39;"03";1;1;1;0;1;3;500;2;1;1;"-961442";"-719539";"-961442";"-719539";"";"";"JIØETÍN POD JEDLOVOU";"";"-1";"silnice 1.tøídy";"9";"";"";"";"";"562572";"";"";"2"
"040220220624";1;9;"2022-11-05";6;"1025";9;0;0;2;1;2;205;0;0;0;500;2;3;01;1;1;1;1;1;1;0;00;3;1;00;;3;39;"98";1;1;1;1;1;1;500;2;1;1;"-961658";"-719330";"-961658";"-719330";"";"";"JIØETÍN POD JEDLOVOU";"";"-1";"silnice 1.tøídy";"9";"";"";"";"";"562572";"";"";"2"
"180100230024";1;38;"2022-12-31";6;"2327";5;0;0;2;4;0;100;0;0;0;100;2;3;01;1;6;1;1;1;0;0;00;1;1;00;;3;47;"01";3;0;1;0;1;3;100;4;1;1;"-997250";"-716557";"-997250";"-716557";"";"";"Doksy";"";"";"silnice 1.tøídy";"38";"";"";"";"";"561495";"";"";"2"
"180100230037";6;;"2022-12-31";6;"2341";3;0;9;2;1;9;511;0;0;0;400;5;2;12;1;4;1;1;1;0;0;00;3;1;00;;3;39;"03";1;0;1;0;1;5;300;2;5;1;"-982433";"-718878";"-982433";"-718878";"";"";"Zákupy";"";"";"komunikace místní";"";"";"";"";"";"562262";"";"";"1"
"180106220001";2;270;"2022-01-01";6;"1945";5;0;0;2;4;0;100;0;0;0;100;2;1;01;1;6;1;1;1;0;0;00;1;01;00;;3;26;"13";1;0;1;0;1;1;100;2;1;1;"-708961,955";"-972884,705";"-708966,774";"-972882,027";"-708966,842";"-972882,007";"";"";"";"silnice2.tøídy";"270";"3263409";"";"Opaènýkesmìruúseku";"Pomalý";"561631";"";"GN_V0.1UIR-ADR_410";"2"
"180106220002";2;262;"2022-01-02";0;"1728";5;0;0;2;4;0;100;0;0;0;200;2;3;01;1;6;1;1;1;0;0;00;1;01;00;;3;39;"20";3;0;1;0;1;3;200;2;1;1;"-721968,126";"-979059,456";"-721968,126";"-979059,456";"-721966,944";"-979043,643";"";"";"";"silnice2.tøídy";"262";"1382701";"";"Opaènýkesmìruúseku";"Pomalý";"561380";"";"GN_V0.1UIR-ADR_410";"2"
"180106220003";3;2627;"2022-01-03";1;"0730";1;2;0;2;1;0;511;0;0;0;200;2;3;01;1;2;1;1;1;0;0;00;3;02;00;;17;;"XX";;;;;;;0;;;;"";"";"-727541,022";"-975774,095";"-727541,281";"-975774,593";"";"";"";"silnice3.tøídy";"2627";"0242A0610242A112";"0,224856";"Opaènýkesmìruúseku";"Pomalý";"";"";"ULS_20050701UIR-ADR_410";"2"
"180106220004";1;13;"2022-01-02";0;"1825";5;0;0;2;4;0;100;0;0;0;300;2;1;01;1;6;1;1;1;0;0;00;1;01;00;;3;47;"08";1;0;1;0;1;1;300;3;1;1;"";"";"-715398,503";"-969829,772";"-715397,762";"-969828,543";"";"";"";"silnice1.tøídy";"13";"0313A0100313A008";"1,044608";"Souhlasnýsesmìremúseku";"Pomalý";"";"";"ULS_20050701UIR-ADR_410";"2"
